start_station_id,start_station_name,end_station_id,end_station_name,total_trips_subscriber
2,San Jose Diridon Caltrain Station,84,Ryland Park,244
2,San Jose Diridon Caltrain Station,16,SJSU - San Salvador at 9th,91
2,San Jose Diridon Caltrain Station,2,San Jose Diridon Caltrain Station,42
2,San Jose Diridon Caltrain Station,3,San Jose Civic Center,246
2,San Jose Diridon Caltrain Station,4,Santa Clara at Almaden,1223
2,San Jose Diridon Caltrain Station,80,Santa Clara County Civic Center,7
2,San Jose Diridon Caltrain Station,5,Adobe on Almaden,260
2,San Jose Diridon Caltrain Station,6,San Pedro Square,656
2,San Jose Diridon Caltrain Station,7,Paseo de San Antonio,488
2,San Jose Diridon Caltrain Station,8,San Salvador at 1st,84
2,San Jose Diridon Caltrain Station,9,Japantown,306
2,San Jose Diridon Caltrain Station,10,San Jose City Hall,212
2,San Jose Diridon Caltrain Station,11,MLK Library,446
2,San Jose Diridon Caltrain Station,12,SJSU 4th at San Carlos,121
2,San Jose Diridon Caltrain Station,13,St James Park,308
2,San Jose Diridon Caltrain Station,14,Arena Green / SAP Center,4
3,San Jose Civic Center,2,San Jose Diridon Caltrain Station,184
3,San Jose Civic Center,3,San Jose Civic Center,7
3,San Jose Civic Center,4,Santa Clara at Almaden,25
3,San Jose Civic Center,5,Adobe on Almaden,17
3,San Jose Civic Center,6,San Pedro Square,10
3,San Jose Civic Center,7,Paseo de San Antonio,19
3,San Jose Civic Center,8,San Salvador at 1st,2
3,San Jose Civic Center,9,Japantown,2
3,San Jose Civic Center,10,San Jose City Hall,50
3,San Jose Civic Center,11,MLK Library,32
3,San Jose Civic Center,12,SJSU 4th at San Carlos,12
3,San Jose Civic Center,13,St James Park,3
3,San Jose Civic Center,14,Arena Green / SAP Center,9
3,San Jose Civic Center,84,Ryland Park,12
3,San Jose Civic Center,16,SJSU - San Salvador at 9th,13
4,Santa Clara at Almaden,84,Ryland Park,4
4,Santa Clara at Almaden,16,SJSU - San Salvador at 9th,13
4,Santa Clara at Almaden,2,San Jose Diridon Caltrain Station,1192
4,Santa Clara at Almaden,3,San Jose Civic Center,19
4,Santa Clara at Almaden,4,Santa Clara at Almaden,54
4,Santa Clara at Almaden,5,Adobe on Almaden,9
4,Santa Clara at Almaden,6,San Pedro Square,11
4,Santa Clara at Almaden,7,Paseo de San Antonio,31
4,Santa Clara at Almaden,8,San Salvador at 1st,23
4,Santa Clara at Almaden,9,Japantown,9
4,Santa Clara at Almaden,10,San Jose City Hall,6
4,Santa Clara at Almaden,11,MLK Library,12
4,Santa Clara at Almaden,12,SJSU 4th at San Carlos,184
4,Santa Clara at Almaden,13,St James Park,1
4,Santa Clara at Almaden,14,Arena Green / SAP Center,260
5,Adobe on Almaden,2,San Jose Diridon Caltrain Station,292
5,Adobe on Almaden,3,San Jose Civic Center,6
5,Adobe on Almaden,4,Santa Clara at Almaden,13
5,Adobe on Almaden,5,Adobe on Almaden,11
5,Adobe on Almaden,6,San Pedro Square,16
5,Adobe on Almaden,7,Paseo de San Antonio,26
5,Adobe on Almaden,8,San Salvador at 1st,12
5,Adobe on Almaden,9,Japantown,3
5,Adobe on Almaden,10,San Jose City Hall,4
5,Adobe on Almaden,11,MLK Library,15
5,Adobe on Almaden,12,SJSU 4th at San Carlos,42
5,Adobe on Almaden,13,St James Park,6
5,Adobe on Almaden,14,Arena Green / SAP Center,3
5,Adobe on Almaden,84,Ryland Park,2
5,Adobe on Almaden,16,SJSU - San Salvador at 9th,5
5,Adobe on Almaden,80,Santa Clara County Civic Center,4
6,San Pedro Square,2,San Jose Diridon Caltrain Station,590
6,San Pedro Square,3,San Jose Civic Center,11
6,San Pedro Square,4,Santa Clara at Almaden,10
6,San Pedro Square,5,Adobe on Almaden,15
6,San Pedro Square,6,San Pedro Square,19
6,San Pedro Square,7,Paseo de San Antonio,24
6,San Pedro Square,8,San Salvador at 1st,21
6,San Pedro Square,9,Japantown,90
6,San Pedro Square,10,San Jose City Hall,36
6,San Pedro Square,11,MLK Library,19
6,San Pedro Square,12,SJSU 4th at San Carlos,14
6,San Pedro Square,13,St James Park,86
6,San Pedro Square,14,Arena Green / SAP Center,49
6,San Pedro Square,84,Ryland Park,95
6,San Pedro Square,16,SJSU - San Salvador at 9th,10
6,San Pedro Square,80,Santa Clara County Civic Center,63
7,Paseo de San Antonio,84,Ryland Park,20
7,Paseo de San Antonio,16,SJSU - San Salvador at 9th,79
7,Paseo de San Antonio,2,San Jose Diridon Caltrain Station,272
7,Paseo de San Antonio,3,San Jose Civic Center,7
7,Paseo de San Antonio,4,Santa Clara at Almaden,26
7,Paseo de San Antonio,5,Adobe on Almaden,20
7,Paseo de San Antonio,6,San Pedro Square,32
7,Paseo de San Antonio,7,Paseo de San Antonio,13
7,Paseo de San Antonio,8,San Salvador at 1st,37
7,Paseo de San Antonio,9,Japantown,34
7,Paseo de San Antonio,10,San Jose City Hall,21
7,Paseo de San Antonio,11,MLK Library,41
7,Paseo de San Antonio,12,SJSU 4th at San Carlos,12
7,Paseo de San Antonio,13,St James Park,30
7,Paseo de San Antonio,14,Arena Green / SAP Center,11
8,San Salvador at 1st,2,San Jose Diridon Caltrain Station,110
8,San Salvador at 1st,3,San Jose Civic Center,2
8,San Salvador at 1st,4,Santa Clara at Almaden,7
8,San Salvador at 1st,5,Adobe on Almaden,2
8,San Salvador at 1st,6,San Pedro Square,35
8,San Salvador at 1st,7,Paseo de San Antonio,41
8,San Salvador at 1st,8,San Salvador at 1st,23
8,San Salvador at 1st,9,Japantown,29
8,San Salvador at 1st,10,San Jose City Hall,23
8,San Salvador at 1st,11,MLK Library,43
8,San Salvador at 1st,12,SJSU 4th at San Carlos,8
8,San Salvador at 1st,13,St James Park,23
8,San Salvador at 1st,14,Arena Green / SAP Center,10
8,San Salvador at 1st,84,Ryland Park,13
8,San Salvador at 1st,16,SJSU - San Salvador at 9th,23
8,San Salvador at 1st,80,Santa Clara County Civic Center,1
