start_station_id,start_station_name,end_station_id,end_station_name,total_trips
2,San Jose Diridon Caltrain Station,2,San Jose Diridon Caltrain Station,77
2,San Jose Diridon Caltrain Station,3,San Jose Civic Center,282
2,San Jose Diridon Caltrain Station,4,Santa Clara at Almaden,1232
2,San Jose Diridon Caltrain Station,5,Adobe on Almaden,268
2,San Jose Diridon Caltrain Station,6,San Pedro Square,687
2,San Jose Diridon Caltrain Station,7,Paseo de San Antonio,497
2,San Jose Diridon Caltrain Station,8,San Salvador at 1st,99
2,San Jose Diridon Caltrain Station,9,Japantown,315
2,San Jose Diridon Caltrain Station,10,San Jose City Hall,223
2,San Jose Diridon Caltrain Station,11,MLK Library,461
2,San Jose Diridon Caltrain Station,12,SJSU 4th at San Carlos,131
2,San Jose Diridon Caltrain Station,13,St James Park,318
2,San Jose Diridon Caltrain Station,14,Arena Green / SAP Center,9
2,San Jose Diridon Caltrain Station,16,SJSU - San Salvador at 9th,102
2,San Jose Diridon Caltrain Station,84,Ryland Park,250
2,San Jose Diridon Caltrain Station,80,Santa Clara County Civic Center,15
2,San Jose Diridon Caltrain Station,28,Mountain View Caltrain Station,2
3,San Jose Civic Center,2,San Jose Diridon Caltrain Station,209
3,San Jose Civic Center,3,San Jose Civic Center,189
3,San Jose Civic Center,4,Santa Clara at Almaden,41
3,San Jose Civic Center,5,Adobe on Almaden,25
3,San Jose Civic Center,6,San Pedro Square,46
3,San Jose Civic Center,7,Paseo de San Antonio,33
3,San Jose Civic Center,8,San Salvador at 1st,8
3,San Jose Civic Center,9,Japantown,13
3,San Jose Civic Center,10,San Jose City Hall,57
3,San Jose Civic Center,11,MLK Library,43
3,San Jose Civic Center,12,SJSU 4th at San Carlos,33
3,San Jose Civic Center,13,St James Park,7
3,San Jose Civic Center,14,Arena Green / SAP Center,21
3,San Jose Civic Center,84,Ryland Park,21
3,San Jose Civic Center,16,SJSU - San Salvador at 9th,20
3,San Jose Civic Center,80,Santa Clara County Civic Center,6
3,San Jose Civic Center,28,Mountain View Caltrain Station,2
4,Santa Clara at Almaden,2,San Jose Diridon Caltrain Station,1214
4,Santa Clara at Almaden,3,San Jose Civic Center,22
4,Santa Clara at Almaden,4,Santa Clara at Almaden,105
4,Santa Clara at Almaden,5,Adobe on Almaden,12
4,Santa Clara at Almaden,6,San Pedro Square,16
4,Santa Clara at Almaden,7,Paseo de San Antonio,35
4,Santa Clara at Almaden,8,San Salvador at 1st,26
4,Santa Clara at Almaden,9,Japantown,11
4,Santa Clara at Almaden,10,San Jose City Hall,14
4,Santa Clara at Almaden,11,MLK Library,17
4,Santa Clara at Almaden,12,SJSU 4th at San Carlos,191
4,Santa Clara at Almaden,13,St James Park,4
4,Santa Clara at Almaden,14,Arena Green / SAP Center,265
4,Santa Clara at Almaden,16,SJSU - San Salvador at 9th,17
4,Santa Clara at Almaden,84,Ryland Park,4
4,Santa Clara at Almaden,80,Santa Clara County Civic Center,5
5,Adobe on Almaden,2,San Jose Diridon Caltrain Station,307
5,Adobe on Almaden,3,San Jose Civic Center,14
5,Adobe on Almaden,4,Santa Clara at Almaden,17
5,Adobe on Almaden,5,Adobe on Almaden,29
5,Adobe on Almaden,6,San Pedro Square,22
5,Adobe on Almaden,7,Paseo de San Antonio,29
5,Adobe on Almaden,8,San Salvador at 1st,17
5,Adobe on Almaden,9,Japantown,7
5,Adobe on Almaden,10,San Jose City Hall,13
5,Adobe on Almaden,11,MLK Library,21
5,Adobe on Almaden,12,SJSU 4th at San Carlos,44
5,Adobe on Almaden,13,St James Park,11
5,Adobe on Almaden,14,Arena Green / SAP Center,9
5,Adobe on Almaden,84,Ryland Park,4
5,Adobe on Almaden,16,SJSU - San Salvador at 9th,10
5,Adobe on Almaden,80,Santa Clara County Civic Center,8
6,San Pedro Square,2,San Jose Diridon Caltrain Station,614
6,San Pedro Square,3,San Jose Civic Center,54
6,San Pedro Square,4,Santa Clara at Almaden,11
6,San Pedro Square,5,Adobe on Almaden,20
6,San Pedro Square,6,San Pedro Square,86
6,San Pedro Square,7,Paseo de San Antonio,36
6,San Pedro Square,8,San Salvador at 1st,29
6,San Pedro Square,9,Japantown,120
6,San Pedro Square,10,San Jose City Hall,46
6,San Pedro Square,11,MLK Library,34
6,San Pedro Square,12,SJSU 4th at San Carlos,18
6,San Pedro Square,13,St James Park,92
6,San Pedro Square,14,Arena Green / SAP Center,56
6,San Pedro Square,84,Ryland Park,110
6,San Pedro Square,16,SJSU - San Salvador at 9th,24
6,San Pedro Square,80,Santa Clara County Civic Center,68
7,Paseo de San Antonio,2,San Jose Diridon Caltrain Station,293
7,Paseo de San Antonio,3,San Jose Civic Center,26
7,Paseo de San Antonio,4,Santa Clara at Almaden,30
7,Paseo de San Antonio,5,Adobe on Almaden,27
7,Paseo de San Antonio,6,San Pedro Square,41
7,Paseo de San Antonio,7,Paseo de San Antonio,64
7,Paseo de San Antonio,8,San Salvador at 1st,49
7,Paseo de San Antonio,9,Japantown,57
7,Paseo de San Antonio,10,San Jose City Hall,25
7,Paseo de San Antonio,11,MLK Library,44
7,Paseo de San Antonio,12,SJSU 4th at San Carlos,14
7,Paseo de San Antonio,13,St James Park,37
7,Paseo de San Antonio,14,Arena Green / SAP Center,22
7,Paseo de San Antonio,16,SJSU - San Salvador at 9th,97
7,Paseo de San Antonio,84,Ryland Park,29
7,Paseo de San Antonio,80,Santa Clara County Civic Center,1
8,San Salvador at 1st,2,San Jose Diridon Caltrain Station,116
8,San Salvador at 1st,3,San Jose Civic Center,11
8,San Salvador at 1st,4,Santa Clara at Almaden,11
8,San Salvador at 1st,5,Adobe on Almaden,6
8,San Salvador at 1st,6,San Pedro Square,54
8,San Salvador at 1st,7,Paseo de San Antonio,49
8,San Salvador at 1st,8,San Salvador at 1st,51
8,San Salvador at 1st,9,Japantown,35
8,San Salvador at 1st,10,San Jose City Hall,27
8,San Salvador at 1st,11,MLK Library,44
8,San Salvador at 1st,12,SJSU 4th at San Carlos,10
8,San Salvador at 1st,13,St James Park,27
8,San Salvador at 1st,14,Arena Green / SAP Center,12
8,San Salvador at 1st,84,Ryland Park,13
8,San Salvador at 1st,16,SJSU - San Salvador at 9th,28
8,San Salvador at 1st,80,Santa Clara County Civic Center,1
9,Japantown,2,San Jose Diridon Caltrain Station,296
9,Japantown,3,San Jose Civic Center,30
9,Japantown,4,Santa Clara at Almaden,10
9,Japantown,5,Adobe on Almaden,17
9,Japantown,6,San Pedro Square,127
9,Japantown,7,Paseo de San Antonio,31
9,Japantown,8,San Salvador at 1st,44
9,Japantown,9,Japantown,68
9,Japantown,10,San Jose City Hall,47
9,Japantown,11,MLK Library,62
9,Japantown,12,SJSU 4th at San Carlos,17
9,Japantown,13,St James Park,34
9,Japantown,14,Arena Green / SAP Center,17
9,Japantown,84,Ryland Park,68
9,Japantown,16,SJSU - San Salvador at 9th,6
9,Japantown,80,Santa Clara County Civic Center,11
10,San Jose City Hall,2,San Jose Diridon Caltrain Station,295
10,San Jose City Hall,3,San Jose Civic Center,76
10,San Jose City Hall,4,Santa Clara at Almaden,15
10,San Jose City Hall,5,Adobe on Almaden,19
10,San Jose City Hall,6,San Pedro Square,34
10,San Jose City Hall,7,Paseo de San Antonio,35
10,San Jose City Hall,8,San Salvador at 1st,61
10,San Jose City Hall,9,Japantown,63
10,San Jose City Hall,10,San Jose City Hall,89
10,San Jose City Hall,11,MLK Library,24
10,San Jose City Hall,12,SJSU 4th at San Carlos,28
10,San Jose City Hall,13,St James Park,19
10,San Jose City Hall,14,Arena Green / SAP Center,6
10,San Jose City Hall,84,Ryland Park,9
10,San Jose City Hall,16,SJSU - San Salvador at 9th,49
10,San Jose City Hall,80,Santa Clara County Civic Center,10
11,MLK Library,2,San Jose Diridon Caltrain Station,668
11,MLK Library,3,San Jose Civic Center,26
11,MLK Library,4,Santa Clara at Almaden,13
11,MLK Library,5,Adobe on Almaden,8
11,MLK Library,6,San Pedro Square,35
11,MLK Library,7,Paseo de San Antonio,24
11,MLK Library,76,Market at 4th,1
11,MLK Library,8,San Salvador at 1st,24
11,MLK Library,9,Japantown,105
11,MLK Library,10,San Jose City Hall,18
11,MLK Library,11,MLK Library,66
11,MLK Library,12,SJSU 4th at San Carlos,20
11,MLK Library,13,St James Park,30
11,MLK Library,14,Arena Green / SAP Center,6
11,MLK Library,84,Ryland Park,16
11,MLK Library,16,SJSU - San Salvador at 9th,27
11,MLK Library,80,Santa Clara County Civic Center,10
11,MLK Library,28,Mountain View Caltrain Station,2
12,SJSU 4th at San Carlos,2,San Jose Diridon Caltrain Station,75
12,SJSU 4th at San Carlos,3,San Jose Civic Center,34
12,SJSU 4th at San Carlos,4,Santa Clara at Almaden,114
12,SJSU 4th at San Carlos,5,Adobe on Almaden,16
12,SJSU 4th at San Carlos,6,San Pedro Square,24
12,SJSU 4th at San Carlos,7,Paseo de San Antonio,18
12,SJSU 4th at San Carlos,8,San Salvador at 1st,25
12,SJSU 4th at San Carlos,9,Japantown,17
12,SJSU 4th at San Carlos,10,San Jose City Hall,13
12,SJSU 4th at San Carlos,11,MLK Library,21
12,SJSU 4th at San Carlos,12,SJSU 4th at San Carlos,32
12,SJSU 4th at San Carlos,13,St James Park,53
12,SJSU 4th at San Carlos,14,Arena Green / SAP Center,8
12,SJSU 4th at San Carlos,16,SJSU - San Salvador at 9th,12
12,SJSU 4th at San Carlos,84,Ryland Park,11
12,SJSU 4th at San Carlos,80,Santa Clara County Civic Center,2
13,St James Park,2,San Jose Diridon Caltrain Station,335
13,St James Park,3,San Jose Civic Center,2
13,St James Park,4,Santa Clara at Almaden,9
13,St James Park,5,Adobe on Almaden,14
13,St James Park,6,San Pedro Square,84
13,St James Park,7,Paseo de San Antonio,42
13,St James Park,8,San Salvador at 1st,52
13,St James Park,9,Japantown,59
13,St James Park,10,San Jose City Hall,26
13,St James Park,11,MLK Library,54
13,St James Park,12,SJSU 4th at San Carlos,63
13,St James Park,13,St James Park,46
13,St James Park,14,Arena Green / SAP Center,13
13,St James Park,16,SJSU - San Salvador at 9th,10
13,St James Park,84,Ryland Park,9
13,St James Park,80,Santa Clara County Civic Center,21
14,Arena Green / SAP Center,2,San Jose Diridon Caltrain Station,14
14,Arena Green / SAP Center,3,San Jose Civic Center,18
14,Arena Green / SAP Center,4,Santa Clara at Almaden,245
14,Arena Green / SAP Center,5,Adobe on Almaden,6
14,Arena Green / SAP Center,6,San Pedro Square,81
14,Arena Green / SAP Center,7,Paseo de San Antonio,34
14,Arena Green / SAP Center,8,San Salvador at 1st,10
14,Arena Green / SAP Center,9,Japantown,21
14,Arena Green / SAP Center,10,San Jose City Hall,3
14,Arena Green / SAP Center,11,MLK Library,8
14,Arena Green / SAP Center,12,SJSU 4th at San Carlos,13
14,Arena Green / SAP Center,13,St James Park,13
14,Arena Green / SAP Center,14,Arena Green / SAP Center,104
14,Arena Green / SAP Center,84,Ryland Park,27
14,Arena Green / SAP Center,16,SJSU - San Salvador at 9th,3
14,Arena Green / SAP Center,80,Santa Clara County Civic Center,47
16,SJSU - San Salvador at 9th,2,San Jose Diridon Caltrain Station,127
16,SJSU - San Salvador at 9th,3,San Jose Civic Center,15
16,SJSU - San Salvador at 9th,4,Santa Clara at Almaden,9
16,SJSU - San Salvador at 9th,5,Adobe on Almaden,7
16,SJSU - San Salvador at 9th,6,San Pedro Square,16
16,SJSU - San Salvador at 9th,7,Paseo de San Antonio,120
16,SJSU - San Salvador at 9th,8,San Salvador at 1st,39
16,SJSU - San Salvador at 9th,9,Japantown,7
16,SJSU - San Salvador at 9th,10,San Jose City Hall,48
16,SJSU - San Salvador at 9th,11,MLK Library,31
16,SJSU - San Salvador at 9th,12,SJSU 4th at San Carlos,14
16,SJSU - San Salvador at 9th,13,St James Park,19
16,SJSU - San Salvador at 9th,14,Arena Green / SAP Center,3
16,SJSU - San Salvador at 9th,16,SJSU - San Salvador at 9th,37
16,SJSU - San Salvador at 9th,80,Santa Clara County Civic Center,2
21,Franklin at Maple,34,Palo Alto Caltrain Station,1
21,Franklin at Maple,35,University and Emerson,7
21,Franklin at Maple,21,Franklin at Maple,12
21,Franklin at Maple,83,Mezes Park,2
21,Franklin at Maple,23,San Mateo County Center,5
21,Franklin at Maple,22,Redwood City Caltrain Station,35
21,Franklin at Maple,37,Cowper at University,2
21,Franklin at Maple,25,Stanford in Redwood City,5
