start_station_id,start_station_name,end_station_id,end_station_name,total_trips_customer
2,San Jose Diridon Caltrain Station,2,San Jose Diridon Caltrain Station,35
2,San Jose Diridon Caltrain Station,3,San Jose Civic Center,36
2,San Jose Diridon Caltrain Station,4,Santa Clara at Almaden,9
2,San Jose Diridon Caltrain Station,5,Adobe on Almaden,8
2,San Jose Diridon Caltrain Station,6,San Pedro Square,31
2,San Jose Diridon Caltrain Station,7,Paseo de San Antonio,9
2,San Jose Diridon Caltrain Station,8,San Salvador at 1st,15
2,San Jose Diridon Caltrain Station,9,Japantown,9
2,San Jose Diridon Caltrain Station,10,San Jose City Hall,11
2,San Jose Diridon Caltrain Station,11,MLK Library,15
2,San Jose Diridon Caltrain Station,12,SJSU 4th at San Carlos,10
2,San Jose Diridon Caltrain Station,13,St James Park,10
2,San Jose Diridon Caltrain Station,14,Arena Green / SAP Center,5
2,San Jose Diridon Caltrain Station,16,SJSU - San Salvador at 9th,11
2,San Jose Diridon Caltrain Station,84,Ryland Park,6
2,San Jose Diridon Caltrain Station,80,Santa Clara County Civic Center,8
2,San Jose Diridon Caltrain Station,28,Mountain View Caltrain Station,2
3,San Jose Civic Center,2,San Jose Diridon Caltrain Station,25
3,San Jose Civic Center,3,San Jose Civic Center,182
3,San Jose Civic Center,4,Santa Clara at Almaden,16
3,San Jose Civic Center,5,Adobe on Almaden,8
3,San Jose Civic Center,6,San Pedro Square,36
3,San Jose Civic Center,7,Paseo de San Antonio,14
3,San Jose Civic Center,8,San Salvador at 1st,6
3,San Jose Civic Center,9,Japantown,11
3,San Jose Civic Center,10,San Jose City Hall,7
3,San Jose Civic Center,11,MLK Library,11
3,San Jose Civic Center,12,SJSU 4th at San Carlos,21
3,San Jose Civic Center,13,St James Park,4
3,San Jose Civic Center,14,Arena Green / SAP Center,12
3,San Jose Civic Center,84,Ryland Park,9
3,San Jose Civic Center,16,SJSU - San Salvador at 9th,7
3,San Jose Civic Center,80,Santa Clara County Civic Center,6
3,San Jose Civic Center,28,Mountain View Caltrain Station,2
4,Santa Clara at Almaden,2,San Jose Diridon Caltrain Station,22
4,Santa Clara at Almaden,3,San Jose Civic Center,3
4,Santa Clara at Almaden,4,Santa Clara at Almaden,51
4,Santa Clara at Almaden,5,Adobe on Almaden,3
4,Santa Clara at Almaden,6,San Pedro Square,5
4,Santa Clara at Almaden,7,Paseo de San Antonio,4
4,Santa Clara at Almaden,8,San Salvador at 1st,3
4,Santa Clara at Almaden,9,Japantown,2
4,Santa Clara at Almaden,10,San Jose City Hall,8
4,Santa Clara at Almaden,11,MLK Library,5
4,Santa Clara at Almaden,12,SJSU 4th at San Carlos,7
4,Santa Clara at Almaden,13,St James Park,3
4,Santa Clara at Almaden,14,Arena Green / SAP Center,5
4,Santa Clara at Almaden,16,SJSU - San Salvador at 9th,4
4,Santa Clara at Almaden,80,Santa Clara County Civic Center,5
5,Adobe on Almaden,2,San Jose Diridon Caltrain Station,15
5,Adobe on Almaden,3,San Jose Civic Center,8
5,Adobe on Almaden,4,Santa Clara at Almaden,4
5,Adobe on Almaden,5,Adobe on Almaden,18
5,Adobe on Almaden,6,San Pedro Square,6
5,Adobe on Almaden,7,Paseo de San Antonio,3
5,Adobe on Almaden,8,San Salvador at 1st,5
5,Adobe on Almaden,9,Japantown,4
5,Adobe on Almaden,10,San Jose City Hall,9
5,Adobe on Almaden,11,MLK Library,6
5,Adobe on Almaden,12,SJSU 4th at San Carlos,2
5,Adobe on Almaden,13,St James Park,5
5,Adobe on Almaden,14,Arena Green / SAP Center,6
5,Adobe on Almaden,84,Ryland Park,2
5,Adobe on Almaden,16,SJSU - San Salvador at 9th,5
5,Adobe on Almaden,80,Santa Clara County Civic Center,4
6,San Pedro Square,2,San Jose Diridon Caltrain Station,24
6,San Pedro Square,3,San Jose Civic Center,43
6,San Pedro Square,4,Santa Clara at Almaden,1
6,San Pedro Square,5,Adobe on Almaden,5
6,San Pedro Square,6,San Pedro Square,67
6,San Pedro Square,7,Paseo de San Antonio,12
6,San Pedro Square,8,San Salvador at 1st,8
6,San Pedro Square,9,Japantown,30
6,San Pedro Square,10,San Jose City Hall,10
6,San Pedro Square,11,MLK Library,15
6,San Pedro Square,12,SJSU 4th at San Carlos,4
6,San Pedro Square,13,St James Park,6
6,San Pedro Square,14,Arena Green / SAP Center,7
